Using command-line arguments: 6, I
Self: Index player
Ensemble weight ParamLists are ready.
numIndividuals: 3003. Correct number is: 3003
=============== runExhaustiveTest ===============
gamesPerIndividual: 5000
----------------------------------------
Table of results: 
ID, p31, p32, p33, p34, p35, p36, winRate
105, 0.000000, 0.000000, 0.100000, 0.400000, 0.500000, 0.000000, 0.7318
106, 0.000000, 0.000000, 0.100000, 0.500000, 0.000000, 0.400000, 0.7374
107, 0.000000, 0.000000, 0.100000, 0.500000, 0.100000, 0.300000, 0.7364
108, 0.000000, 0.000000, 0.100000, 0.500000, 0.200000, 0.200000, 0.7246
109, 0.000000, 0.000000, 0.100000, 0.500000, 0.300000, 0.100000, 0.7288
110, 0.000000, 0.000000, 0.100000, 0.500000, 0.400000, 0.000000, 0.7232
111, 0.000000, 0.000000, 0.100000, 0.600000, 0.000000, 0.300000, 0.7286
112, 0.000000, 0.000000, 0.100000, 0.600000, 0.100000, 0.200000, 0.732
113, 0.000000, 0.000000, 0.100000, 0.600000, 0.200000, 0.100000, 0.7372
114, 0.000000, 0.000000, 0.100000, 0.600000, 0.300000, 0.000000, 0.7276
115, 0.000000, 0.000000, 0.100000, 0.700000, 0.000000, 0.200000, 0.7294
116, 0.000000, 0.000000, 0.100000, 0.700000, 0.100000, 0.100000, 0.7236
117, 0.000000, 0.000000, 0.100000, 0.700000, 0.200000, 0.000000, 0.7374
118, 0.000000, 0.000000, 0.100000, 0.800000, 0.000000, 0.100000, 0.7236
119, 0.000000, 0.000000, 0.100000, 0.800000, 0.100000, 0.000000, 0.7374
120, 0.000000, 0.000000, 0.100000, 0.900000, 0.000000, 0.000000, 0.7384
121, 0.000000, 0.000000, 0.200000, 0.000000, 0.000000, 0.800000, 0.6742
122, 0.000000, 0.000000, 0.200000, 0.000000, 0.100000, 0.700000, 0.6756
123, 0.000000, 0.000000, 0.200000, 0.000000, 0.200000, 0.600000, 0.6656
124, 0.000000, 0.000000, 0.200000, 0.000000, 0.300000, 0.500000, 0.6734
125, 0.000000, 0.000000, 0.200000, 0.000000, 0.400000, 0.400000, 0.6786
126, 0.000000, 0.000000, 0.200000, 0.000000, 0.500000, 0.300000, 0.683
127, 0.000000, 0.000000, 0.200000, 0.000000, 0.600000, 0.200000, 0.6724
128, 0.000000, 0.000000, 0.200000, 0.000000, 0.700000, 0.100000, 0.6724
129, 0.000000, 0.000000, 0.200000, 0.000000, 0.800000, 0.000000, 0.6852
130, 0.000000, 0.000000, 0.200000, 0.100000, 0.000000, 0.700000, 0.7156
131, 0.000000, 0.000000, 0.200000, 0.100000, 0.100000, 0.600000, 0.7298
132, 0.000000, 0.000000, 0.200000, 0.100000, 0.200000, 0.500000, 0.7228
133, 0.000000, 0.000000, 0.200000, 0.100000, 0.300000, 0.400000, 0.7214
134, 0.000000, 0.000000, 0.200000, 0.100000, 0.400000, 0.300000, 0.7158
135, 0.000000, 0.000000, 0.200000, 0.100000, 0.500000, 0.200000, 0.7202
136, 0.000000, 0.000000, 0.200000, 0.100000, 0.600000, 0.100000, 0.7272
137, 0.000000, 0.000000, 0.200000, 0.100000, 0.700000, 0.000000, 0.7246
138, 0.000000, 0.000000, 0.200000, 0.200000, 0.000000, 0.600000, 0.72
139, 0.000000, 0.000000, 0.200000, 0.200000, 0.100000, 0.500000, 0.7268
140, 0.000000, 0.000000, 0.200000, 0.200000, 0.200000, 0.400000, 0.726
141, 0.000000, 0.000000, 0.200000, 0.200000, 0.300000, 0.300000, 0.7278
142, 0.000000, 0.000000, 0.200000, 0.200000, 0.400000, 0.200000, 0.719
143, 0.000000, 0.000000, 0.200000, 0.200000, 0.500000, 0.100000, 0.7348
144, 0.000000, 0.000000, 0.200000, 0.200000, 0.600000, 0.000000, 0.7306
145, 0.000000, 0.000000, 0.200000, 0.300000, 0.000000, 0.500000, 0.7186
146, 0.000000, 0.000000, 0.200000, 0.300000, 0.100000, 0.400000, 0.7214
147, 0.000000, 0.000000, 0.200000, 0.300000, 0.200000, 0.300000, 0.7228
148, 0.000000, 0.000000, 0.200000, 0.300000, 0.300000, 0.200000, 0.72
149, 0.000000, 0.000000, 0.200000, 0.300000, 0.400000, 0.100000, 0.7264
150, 0.000000, 0.000000, 0.200000, 0.300000, 0.500000, 0.000000, 0.7208
151, 0.000000, 0.000000, 0.200000, 0.400000, 0.000000, 0.400000, 0.7324
152, 0.000000, 0.000000, 0.200000, 0.400000, 0.100000, 0.300000, 0.7346
153, 0.000000, 0.000000, 0.200000, 0.400000, 0.200000, 0.200000, 0.7368
154, 0.000000, 0.000000, 0.200000, 0.400000, 0.300000, 0.100000, 0.7252
155, 0.000000, 0.000000, 0.200000, 0.400000, 0.400000, 0.000000, 0.7314
156, 0.000000, 0.000000, 0.200000, 0.500000, 0.000000, 0.300000, 0.7328
157, 0.000000, 0.000000, 0.200000, 0.500000, 0.100000, 0.200000, 0.7338
158, 0.000000, 0.000000, 0.200000, 0.500000, 0.200000, 0.100000, 0.7322
159, 0.000000, 0.000000, 0.200000, 0.500000, 0.300000, 0.000000, 0.7134
160, 0.000000, 0.000000, 0.200000, 0.600000, 0.000000, 0.200000, 0.7252
161, 0.000000, 0.000000, 0.200000, 0.600000, 0.100000, 0.100000, 0.7352
162, 0.000000, 0.000000, 0.200000, 0.600000, 0.200000, 0.000000, 0.7388
163, 0.000000, 0.000000, 0.200000, 0.700000, 0.000000, 0.100000, 0.7328
164, 0.000000, 0.000000, 0.200000, 0.700000, 0.100000, 0.000000, 0.7192
165, 0.000000, 0.000000, 0.200000, 0.800000, 0.000000, 0.000000, 0.7246
166, 0.000000, 0.000000, 0.300000, 0.000000, 0.000000, 0.700000, 0.6692
167, 0.000000, 0.000000, 0.300000, 0.000000, 0.100000, 0.600000, 0.6824
168, 0.000000, 0.000000, 0.300000, 0.000000, 0.200000, 0.500000, 0.6788
169, 0.000000, 0.000000, 0.300000, 0.000000, 0.300000, 0.400000, 0.6774
170, 0.000000, 0.000000, 0.300000, 0.000000, 0.400000, 0.300000, 0.674
171, 0.000000, 0.000000, 0.300000, 0.000000, 0.500000, 0.200000, 0.6672
172, 0.000000, 0.000000, 0.300000, 0.000000, 0.600000, 0.100000, 0.671
173, 0.000000, 0.000000, 0.300000, 0.000000, 0.700000, 0.000000, 0.681
174, 0.000000, 0.000000, 0.300000, 0.100000, 0.000000, 0.600000, 0.7288
175, 0.000000, 0.000000, 0.300000, 0.100000, 0.100000, 0.500000, 0.7288
176, 0.000000, 0.000000, 0.300000, 0.100000, 0.200000, 0.400000, 0.7304
177, 0.000000, 0.000000, 0.300000, 0.100000, 0.300000, 0.300000, 0.7204
178, 0.000000, 0.000000, 0.300000, 0.100000, 0.400000, 0.200000, 0.7276
179, 0.000000, 0.000000, 0.300000, 0.100000, 0.500000, 0.100000, 0.7232
180, 0.000000, 0.000000, 0.300000, 0.100000, 0.600000, 0.000000, 0.7154
181, 0.000000, 0.000000, 0.300000, 0.200000, 0.000000, 0.500000, 0.717
182, 0.000000, 0.000000, 0.300000, 0.200000, 0.100000, 0.400000, 0.7162
183, 0.000000, 0.000000, 0.300000, 0.200000, 0.200000, 0.300000, 0.7152
184, 0.000000, 0.000000, 0.300000, 0.200000, 0.300000, 0.200000, 0.7206
185, 0.000000, 0.000000, 0.300000, 0.200000, 0.400000, 0.100000, 0.7246
186, 0.000000, 0.000000, 0.300000, 0.200000, 0.500000, 0.000000, 0.7126
187, 0.000000, 0.000000, 0.300000, 0.300000, 0.000000, 0.400000, 0.7286
188, 0.000000, 0.000000, 0.300000, 0.300000, 0.100000, 0.300000, 0.7184
189, 0.000000, 0.000000, 0.300000, 0.300000, 0.200000, 0.200000, 0.7214
190, 0.000000, 0.000000, 0.300000, 0.300000, 0.300000, 0.100000, 0.734
191, 0.000000, 0.000000, 0.300000, 0.300000, 0.400000, 0.000000, 0.722
192, 0.000000, 0.000000, 0.300000, 0.400000, 0.000000, 0.300000, 0.7382
193, 0.000000, 0.000000, 0.300000, 0.400000, 0.100000, 0.200000, 0.729
194, 0.000000, 0.000000, 0.300000, 0.400000, 0.200000, 0.100000, 0.7324
195, 0.000000, 0.000000, 0.300000, 0.400000, 0.300000, 0.000000, 0.7326
196, 0.000000, 0.000000, 0.300000, 0.500000, 0.000000, 0.200000, 0.7328
197, 0.000000, 0.000000, 0.300000, 0.500000, 0.100000, 0.100000, 0.7334
198, 0.000000, 0.000000, 0.300000, 0.500000, 0.200000, 0.000000, 0.7368
199, 0.000000, 0.000000, 0.300000, 0.600000, 0.000000, 0.100000, 0.7396
200, 0.000000, 0.000000, 0.300000, 0.600000, 0.100000, 0.000000, 0.7296
201, 0.000000, 0.000000, 0.300000, 0.700000, 0.000000, 0.000000, 0.7352
202, 0.000000, 0.000000, 0.400000, 0.000000, 0.000000, 0.600000, 0.6802
203, 0.000000, 0.000000, 0.400000, 0.000000, 0.100000, 0.500000, 0.6648
204, 0.000000, 0.000000, 0.400000, 0.000000, 0.200000, 0.400000, 0.6676
205, 0.000000, 0.000000, 0.400000, 0.000000, 0.300000, 0.300000, 0.6638
206, 0.000000, 0.000000, 0.400000, 0.000000, 0.400000, 0.200000, 0.6604
207, 0.000000, 0.000000, 0.400000, 0.000000, 0.500000, 0.100000, 0.6778
208, 0.000000, 0.000000, 0.400000, 0.000000, 0.600000, 0.000000, 0.6772
209, 0.000000, 0.000000, 0.400000, 0.100000, 0.000000, 0.500000, 0.7024
210, 0.000000, 0.000000, 0.400000, 0.100000, 0.100000, 0.400000, 0.7254
211, 0.000000, 0.000000, 0.400000, 0.100000, 0.200000, 0.300000, 0.7142
212, 0.000000, 0.000000, 0.400000, 0.100000, 0.300000, 0.200000, 0.7168
213, 0.000000, 0.000000, 0.400000, 0.100000, 0.400000, 0.100000, 0.7214
214, 0.000000, 0.000000, 0.400000, 0.100000, 0.500000, 0.000000, 0.7182
215, 0.000000, 0.000000, 0.400000, 0.200000, 0.000000, 0.400000, 0.7304
216, 0.000000, 0.000000, 0.400000, 0.200000, 0.100000, 0.300000, 0.731
217, 0.000000, 0.000000, 0.400000, 0.200000, 0.200000, 0.200000, 0.7198
218, 0.000000, 0.000000, 0.400000, 0.200000, 0.300000, 0.100000, 0.7382
219, 0.000000, 0.000000, 0.400000, 0.200000, 0.400000, 0.000000, 0.7226
220, 0.000000, 0.000000, 0.400000, 0.300000, 0.000000, 0.300000, 0.7234
221, 0.000000, 0.000000, 0.400000, 0.300000, 0.100000, 0.200000, 0.7204
222, 0.000000, 0.000000, 0.400000, 0.300000, 0.200000, 0.100000, 0.7342
223, 0.000000, 0.000000, 0.400000, 0.300000, 0.300000, 0.000000, 0.7226
224, 0.000000, 0.000000, 0.400000, 0.400000, 0.000000, 0.200000, 0.7292
