rankOfMeld1,isRun1,isRank1,length1,rankOfMeld2,isRun2,isRank2,length2,rankOfMeld3,isRun3,isRank3,length3,selfDeadwoodPoints,numTurn,multiOppScore,finalScore
0.0,1.0,0.0,3.0,4.0,1.0,0.0,3.0,4.0,1.0,0.0,3.0,5.0,21.0,5.793455885761597,2.0
0.0,1.0,0.0,3.0,4.0,1.0,0.0,3.0,4.0,1.0,0.0,3.0,5.0,23.0,33.20568988175644,-29.0
6.0,1.0,0.0,4.0,6.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,10.0,14.0,10.984597155340662,6.0
6.0,1.0,0.0,4.0,6.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,8.0,20.0,-29.627426596878532,1.0
6.0,1.0,0.0,4.0,6.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,8.0,22.0,-30.366698703808922,-27.0
6.0,1.0,0.0,4.0,6.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,8.0,24.0,-30.364664409401374,-27.0
6.0,1.0,0.0,5.0,6.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0,26.0,-4.886751130532488,2.0
6.0,1.0,0.0,5.0,6.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,28.0,-4.283068805574073,3.0
6.0,1.0,0.0,5.0,6.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,30.0,11.688206217437116,1.0
6.0,1.0,0.0,5.0,6.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,32.0,13.417660477430319,1.0
6.0,1.0,0.0,5.0,6.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,34.0,0.2446736581583976,1.0
6.0,1.0,0.0,5.0,6.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,36.0,-1.187104339631544,-25.0
2.0,1.0,0.0,3.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,9.0,16.0,6.330118699452782,-33.0
2.0,1.0,0.0,3.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,9.0,18.0,6.438129423012122,-33.0
2.0,1.0,0.0,3.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,9.0,20.0,-20.48540509456513,-33.0
0.0,1.0,0.0,5.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,4.0,22.0,4.994334444442694,-28.0
0.0,1.0,0.0,5.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,4.0,24.0,10.52487121348782,-28.0
4.0,0.0,1.0,4.0,5.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,6.0,21.0,-10.136054421768707,4.0
4.0,0.0,1.0,4.0,5.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,6.0,23.0,10.105483706672127,-25.0
4.0,0.0,1.0,4.0,5.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,6.0,25.0,10.530339180736897,-25.0
4.0,0.0,1.0,4.0,5.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,6.0,27.0,5.4047104494338845,-29.0
4.0,0.0,1.0,4.0,5.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,6.0,29.0,5.4166835968992695,-29.0
4.0,0.0,1.0,4.0,5.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,9.0,31.0,-19.790245688776647,-32.0
3.0,1.0,0.0,5.0,12.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,8.0,5.0,2.2981496185890906,28.0
3.0,1.0,0.0,5.0,12.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,3.0,7.0,11.310231742749373,8.0
3.0,1.0,0.0,6.0,12.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,9.0,10.325708450344653,10.0
3.0,1.0,0.0,6.0,12.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,11.0,14.292019862618494,7.0
3.0,1.0,0.0,6.0,12.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,13.0,14.294500176849574,7.0
3.0,1.0,0.0,3.0,6.0,1.0,0.0,3.0,12.0,0.0,1.0,3.0,1.0,15.0,14.297147254632225,7.0
3.0,1.0,0.0,6.0,12.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,17.0,14.299978624602842,7.0
8.0,1.0,0.0,5.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,5.0,28.0,-11.525939572005134,3.0
8.0,1.0,0.0,5.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,5.0,30.0,-25.482551013429195,-28.0
8.0,1.0,0.0,5.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,2.0,32.0,7.6376585361625615,-25.0
5.0,1.0,0.0,3.0,3.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,6.0,27.0,-11.512852735389615,-25.0
5.0,1.0,0.0,3.0,1.0,0.0,1.0,3.0,3.0,0.0,1.0,3.0,1.0,29.0,2.198074596343265,-25.0
2.0,0.0,1.0,3.0,6.0,0.0,1.0,3.0,7.0,0.0,1.0,3.0,1.0,12.0,22.63636363636363,10.0
2.0,0.0,1.0,3.0,6.0,0.0,1.0,3.0,7.0,0.0,1.0,3.0,1.0,14.0,10.363636363636363,10.0
2.0,0.0,1.0,3.0,6.0,0.0,1.0,3.0,7.0,0.0,1.0,3.0,1.0,16.0,10.363636363636363,10.0
2.0,0.0,1.0,3.0,6.0,0.0,1.0,3.0,7.0,0.0,1.0,3.0,1.0,18.0,4.300000000000002,10.0
2.0,0.0,1.0,3.0,6.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,9.0,17.0,14.605255027880457,-32.0
1.0,1.0,0.0,3.0,6.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,9.0,19.0,3.2644537068934976,-29.0
1.0,1.0,0.0,3.0,6.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,9.0,21.0,3.3545496310470013,-29.0
1.0,1.0,0.0,3.0,6.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,9.0,23.0,3.4921595893601936,-29.0
6.0,0.0,1.0,4.0,2.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,5.0,25.0,2.7352439037535827,-28.0
6.0,0.0,1.0,4.0,2.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,5.0,27.0,15.838757770822095,-28.0
6.0,0.0,1.0,4.0,2.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,5.0,29.0,9.571108753813963,-28.0
6.0,0.0,1.0,4.0,2.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,4.0,31.0,-2.399370127914064,-27.0
6.0,0.0,1.0,4.0,2.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,4.0,33.0,-2.9362364760667674,-27.0
2.0,0.0,1.0,4.0,6.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,2.0,35.0,5.9260107956135455,2.0
0.0,1.0,0.0,5.0,2.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,3.0,14.0,19.05549762916375,-26.0
