playerID,opponentID,gameID,roundID,numSelfTurnsToKnock,numOppTurnsToKnock,numSelfFaceUpCardsDrawn,numOppFaceUpCardsDrawn,numSelfMeldsAtKnock,numSelfRunMeldsAtKnock,numSelfRankMeldsAtKnock,numOppMeldsAtKnock,numOppRunMeldsAtKnock,numOppRankMeldsAtKnock
0,1,21,148,3,0,1,0,3,1,2,1,0,1
0,1,21,149,10,0,1,1,2,0,2,3,0,3
0,1,21,150,10,0,2,4,2,1,1,3,1,2
0,1,21,151,6,0,2,2,3,3,0,2,2,0
0,1,22,152,14,0,1,2,2,0,2,2,1,1
0,1,22,153,6,0,1,1,2,1,1,1,0,1
0,1,22,154,11,0,0,2,2,0,2,2,1,1
0,1,22,155,14,0,1,0,2,0,2,2,0,2
0,1,22,156,11,0,1,1,2,0,2,2,0,2
0,1,22,157,10,0,2,1,3,1,2,2,0,2
0,1,22,158,7,0,2,1,2,1,1,1,0,1
0,1,22,159,9,0,2,2,2,0,2,2,1,1
0,1,22,160,4,0,1,0,2,0,2,1,0,1
0,1,22,161,5,0,3,0,2,0,2,1,0,1
0,1,23,162,11,0,2,0,2,2,0,2,1,1
0,1,23,163,7,0,2,0,2,0,2,1,1,0
0,1,23,164,12,0,2,1,3,1,2,1,1,0
0,1,23,165,11,0,2,1,2,2,0,2,1,1
0,1,23,166,8,0,1,2,2,0,2,2,0,2
0,1,23,167,8,0,1,0,3,0,3,2,1,1
0,1,23,168,4,0,2,0,2,1,1,3,1,2
0,1,23,169,17,0,2,3,2,0,2,2,2,0
0,1,24,170,11,0,1,1,2,1,1,2,2,0
0,1,24,171,9,0,2,0,2,0,2,1,0,1
0,1,24,172,11,0,1,2,2,1,1,2,0,2
0,1,24,173,12,0,1,0,2,0,2,2,2,0
0,1,24,174,5,0,0,0,2,1,1,2,1,1
0,1,24,175,6,0,0,2,2,0,2,2,2,0
0,1,24,176,10,0,2,1,2,0,2,2,0,2
0,1,24,177,10,0,1,1,2,1,1,2,1,1
0,1,24,178,7,0,1,2,2,1,1,1,0,1
0,1,25,179,11,0,2,2,3,1,2,1,0,1
0,1,25,180,10,0,1,2,3,2,1,2,0,2
0,1,25,181,5,0,1,0,2,2,0,0,0,0
0,1,25,182,8,0,1,4,3,1,2,2,1,1
0,1,25,183,14,0,0,1,2,1,1,2,1,1
0,1,25,184,6,0,1,1,2,1,1,2,1,1
0,1,25,185,7,0,1,0,3,2,1,1,1,0
0,1,25,186,9,0,2,2,2,1,1,2,1,1
0,1,25,187,9,0,2,0,2,1,1,2,1,1
0,1,26,188,10,0,4,1,2,0,2,2,0,2
0,1,26,189,7,0,2,3,2,2,0,1,1,0
0,1,26,190,9,0,2,1,2,1,1,2,0,2
0,1,26,191,7,0,1,0,2,2,0,1,0,1
0,1,26,192,4,0,0,0,2,1,1,0,0,0
0,1,26,193,8,0,2,0,2,0,2,2,2,0
0,1,26,194,7,0,1,1,2,0,2,3,0,3
0,1,26,195,4,0,0,1,3,2,1,1,0,1
0,1,27,196,11,0,1,1,2,0,2,2,1,1
0,1,27,197,15,0,2,3,2,0,2,2,1,1
0,1,27,198,14,0,0,4,2,2,0,2,1,1
0,1,27,199,8,0,2,1,2,1,1,2,0,2
0,1,27,200,5,0,1,1,2,0,2,2,1,1
0,1,27,201,8,0,2,0,2,1,1,1,1,0
0,1,27,202,8,0,1,1,2,1,1,1,1,0
0,1,27,203,4,0,3,0,2,0,2,0,0,0
0,1,27,204,12,0,1,0,2,1,1,1,1,0
0,1,28,205,6,0,2,0,3,2,1,2,2,0
0,1,28,206,9,0,2,3,3,0,3,2,1,1
0,1,28,207,8,0,1,0,2,2,0,1,0,1
0,1,28,208,0,10,2,0,2,0,2,3,0,3
0,1,28,209,5,0,1,0,2,2,0,1,0,1
0,1,29,210,12,0,2,1,2,2,0,2,1,1
0,1,29,211,9,0,0,0,2,0,2,1,0,1
0,1,29,212,13,0,2,1,2,1,1,2,1,1
0,1,29,213,10,0,1,1,2,1,1,3,0,3
0,1,29,214,10,0,1,1,2,1,1,1,1,0
0,1,29,215,11,0,0,0,2,0,2,1,1,0
0,1,30,216,11,0,2,2,2,1,1,2,0,2
0,1,30,217,2,0,1,1,2,1,1,1,0,1
0,1,30,218,13,0,2,1,2,2,0,2,0,2
0,1,30,219,10,0,3,0,2,2,0,1,1,0
0,1,30,220,7,0,1,1,3,0,3,1,1,0
0,1,30,221,6,0,2,1,2,2,0,2,2,0
0,1,30,222,8,0,2,1,2,1,1,2,1,1
0,1,30,223,9,0,1,1,2,0,2,1,1,0
0,1,31,224,7,0,3,0,3,2,1,1,0,1
0,1,31,225,10,0,1,3,2,1,1,2,0,2
0,1,31,226,5,0,1,0,3,1,2,0,0,0
0,1,31,227,9,0,1,2,2,1,1,2,2,0
0,1,31,228,5,0,0,0,2,0,2,1,1,0
0,1,31,229,10,0,3,2,2,1,1,1,1,0
0,1,32,230,5,0,0,2,2,1,1,1,1,0
0,1,32,231,7,0,3,2,2,0,2,2,0,2
0,1,32,232,7,0,4,1,2,0,2,2,1,1
0,1,32,233,5,0,0,3,2,2,0,2,2,0
0,1,32,234,11,0,2,2,2,1,1,2,1,1
0,1,32,235,6,0,0,1,2,1,1,2,1,1
0,1,33,236,6,0,1,1,3,1,2,1,1,0
0,1,33,237,7,0,1,1,3,3,0,2,1,1
0,1,33,238,13,0,1,1,2,2,0,3,1,2
0,1,33,239,7,0,0,2,2,2,0,1,1,0
0,1,33,240,16,0,1,0,3,1,2,2,0,2
0,1,33,241,5,0,1,0,3,0,3,1,0,1
0,1,33,242,0,4,0,1,2,1,1,3,1,2
0,1,34,243,9,0,1,0,3,2,1,1,0,1
0,1,34,244,7,0,1,1,2,1,1,2,0,2
0,1,34,245,10,0,2,2,2,0,2,2,1,1
0,1,34,246,10,0,3,1,3,1,2,2,0,2
