ID,p31,p32,p33,p34,p35,p36,winRate
123,0.0,0.0,0.2,0.0,0.2,0.6,0.6706
124,0.0,0.0,0.2,0.0,0.3,0.5,0.6766
125,0.0,0.0,0.2,0.0,0.4,0.4,0.6768
126,0.0,0.0,0.2,0.0,0.5,0.3,0.672
127,0.0,0.0,0.2,0.0,0.6,0.2,0.6738
128,0.0,0.0,0.2,0.0,0.7,0.1,0.6762
129,0.0,0.0,0.2,0.0,0.8,0.0,0.6786
130,0.0,0.0,0.2,0.1,0.0,0.7,0.7136
131,0.0,0.0,0.2,0.1,0.1,0.6,0.7086
132,0.0,0.0,0.2,0.1,0.2,0.5,0.7148
133,0.0,0.0,0.2,0.1,0.3,0.4,0.7224
134,0.0,0.0,0.2,0.1,0.4,0.3,0.7124
135,0.0,0.0,0.2,0.1,0.5,0.2,0.7148
136,0.0,0.0,0.2,0.1,0.6,0.1,0.7064
137,0.0,0.0,0.2,0.1,0.7,0.0,0.7078
138,0.0,0.0,0.2,0.2,0.0,0.6,0.7166
139,0.0,0.0,0.2,0.2,0.1,0.5,0.7244
140,0.0,0.0,0.2,0.2,0.2,0.4,0.7194
141,0.0,0.0,0.2,0.2,0.3,0.3,0.72
142,0.0,0.0,0.2,0.2,0.4,0.2,0.7196
143,0.0,0.0,0.2,0.2,0.5,0.1,0.721
144,0.0,0.0,0.2,0.2,0.6,0.0,0.7162
145,0.0,0.0,0.2,0.3,0.0,0.5,0.7274
146,0.0,0.0,0.2,0.3,0.1,0.4,0.7244
147,0.0,0.0,0.2,0.3,0.2,0.3,0.7304
148,0.0,0.0,0.2,0.3,0.3,0.2,0.7170000000000001
149,0.0,0.0,0.2,0.3,0.4,0.1,0.7328
150,0.0,0.0,0.2,0.3,0.5,0.0,0.7266
151,0.0,0.0,0.2,0.4,0.0,0.4,0.7258
152,0.0,0.0,0.2,0.4,0.1,0.3,0.7354
153,0.0,0.0,0.2,0.4,0.2,0.2,0.718
154,0.0,0.0,0.2,0.4,0.3,0.1,0.7236
155,0.0,0.0,0.2,0.4,0.4,0.0,0.7212
156,0.0,0.0,0.2,0.5,0.0,0.3,0.7326
157,0.0,0.0,0.2,0.5,0.1,0.2,0.7202
158,0.0,0.0,0.2,0.5,0.2,0.1,0.7238
159,0.0,0.0,0.2,0.5,0.3,0.0,0.7172
160,0.0,0.0,0.2,0.6,0.0,0.2,0.7138
161,0.0,0.0,0.2,0.6,0.1,0.1,0.725
162,0.0,0.0,0.2,0.6,0.2,0.0,0.708
163,0.0,0.0,0.2,0.7,0.0,0.1,0.706
164,0.0,0.0,0.2,0.7,0.1,0.0,0.7166
165,0.0,0.0,0.2,0.8,0.0,0.0,0.6996
166,0.0,0.0,0.3,0.0,0.0,0.7,0.6808
167,0.0,0.0,0.3,0.0,0.1,0.6,0.6716
168,0.0,0.0,0.3,0.0,0.2,0.5,0.6804
169,0.0,0.0,0.3,0.0,0.3,0.4,0.6758
170,0.0,0.0,0.3,0.0,0.4,0.3,0.6606
171,0.0,0.0,0.3,0.0,0.5,0.2,0.674
172,0.0,0.0,0.3,0.0,0.6,0.1,0.6704
173,0.0,0.0,0.3,0.0,0.7,0.0,0.6666
174,0.0,0.0,0.3,0.1,0.0,0.6,0.7102
175,0.0,0.0,0.3,0.1,0.1,0.5,0.7120000000000001
176,0.0,0.0,0.3,0.1,0.2,0.4,0.7064
177,0.0,0.0,0.3,0.1,0.3,0.3,0.7070000000000001
178,0.0,0.0,0.3,0.1,0.4,0.2,0.7204
179,0.0,0.0,0.3,0.1,0.5,0.1,0.7136
180,0.0,0.0,0.3,0.1,0.6,0.0,0.7066
181,0.0,0.0,0.3,0.2,0.0,0.5,0.7212
182,0.0,0.0,0.3,0.2,0.1,0.4,0.7246
183,0.0,0.0,0.3,0.2,0.2,0.3,0.7170000000000001
184,0.0,0.0,0.3,0.2,0.3,0.2,0.7168
185,0.0,0.0,0.3,0.2,0.4,0.1,0.7178
186,0.0,0.0,0.3,0.2,0.5,0.0,0.7194
187,0.0,0.0,0.3,0.3,0.0,0.4,0.7304
188,0.0,0.0,0.3,0.3,0.1,0.3,0.7342
189,0.0,0.0,0.3,0.3,0.2,0.2,0.7164
190,0.0,0.0,0.3,0.3,0.3,0.1,0.7306
191,0.0,0.0,0.3,0.3,0.4,0.0,0.7188
192,0.0,0.0,0.3,0.4,0.0,0.3,0.7334
193,0.0,0.0,0.3,0.4,0.1,0.2,0.7284
194,0.0,0.0,0.3,0.4,0.2,0.1,0.7176
195,0.0,0.0,0.3,0.4,0.3,0.0,0.7238
196,0.0,0.0,0.3,0.5,0.0,0.2,0.7264
197,0.0,0.0,0.3,0.5,0.1,0.1,0.7268
198,0.0,0.0,0.3,0.5,0.2,0.0,0.7314
199,0.0,0.0,0.3,0.6,0.0,0.1,0.7094
200,0.0,0.0,0.3,0.6,0.1,0.0,0.7192
201,0.0,0.0,0.3,0.7,0.0,0.0,0.7146
202,0.0,0.0,0.4,0.0,0.0,0.6,0.6718
203,0.0,0.0,0.4,0.0,0.1,0.5,0.6718
204,0.0,0.0,0.4,0.0,0.2,0.4,0.6674
205,0.0,0.0,0.4,0.0,0.3,0.3,0.6792
206,0.0,0.0,0.4,0.0,0.4,0.2,0.6652
207,0.0,0.0,0.4,0.0,0.5,0.1,0.6709999999999999
208,0.0,0.0,0.4,0.0,0.6,0.0,0.6812
209,0.0,0.0,0.4,0.1,0.0,0.5,0.73
210,0.0,0.0,0.4,0.1,0.1,0.4,0.7108
211,0.0,0.0,0.4,0.1,0.2,0.3,0.7178
212,0.0,0.0,0.4,0.1,0.3,0.2,0.7152
213,0.0,0.0,0.4,0.1,0.4,0.1,0.7208
214,0.0,0.0,0.4,0.1,0.5,0.0,0.7174
215,0.0,0.0,0.4,0.2,0.0,0.4,0.7192
216,0.0,0.0,0.4,0.2,0.1,0.3,0.731
217,0.0,0.0,0.4,0.2,0.2,0.2,0.7240000000000001
218,0.0,0.0,0.4,0.2,0.3,0.1,0.7272
219,0.0,0.0,0.4,0.2,0.4,0.0,0.7382
220,0.0,0.0,0.4,0.3,0.0,0.3,0.7326
221,0.0,0.0,0.4,0.3,0.1,0.2,0.7258
222,0.0,0.0,0.4,0.3,0.2,0.1,0.7258
223,0.0,0.0,0.4,0.3,0.3,0.0,0.7196
224,0.0,0.0,0.4,0.4,0.0,0.2,0.7274
225,0.0,0.0,0.4,0.4,0.1,0.1,0.7192
226,0.0,0.0,0.4,0.4,0.2,0.0,0.7278
227,0.0,0.0,0.4,0.5,0.0,0.1,0.7048
228,0.0,0.0,0.4,0.5,0.1,0.0,0.7148
229,0.0,0.0,0.4,0.6,0.0,0.0,0.713
230,0.0,0.0,0.5,0.0,0.0,0.5,0.6628
231,0.0,0.0,0.5,0.0,0.1,0.4,0.6659999999999999
232,0.0,0.0,0.5,0.0,0.2,0.3,0.6756
233,0.0,0.0,0.5,0.0,0.3,0.2,0.6576
234,0.0,0.0,0.5,0.0,0.4,0.1,0.6736
235,0.0,0.0,0.5,0.0,0.5,0.0,0.6696
236,0.0,0.0,0.5,0.1,0.0,0.4,0.7228
237,0.0,0.0,0.5,0.1,0.1,0.3,0.7158
238,0.0,0.0,0.5,0.1,0.2,0.2,0.72
239,0.0,0.0,0.5,0.1,0.3,0.1,0.7114
240,0.0,0.0,0.5,0.1,0.4,0.0,0.7126
241,0.0,0.0,0.5,0.2,0.0,0.3,0.7288
242,0.0,0.0,0.5,0.2,0.1,0.2,0.7212
243,0.0,0.0,0.5,0.2,0.2,0.1,0.7340000000000001
244,0.0,0.0,0.5,0.2,0.3,0.0,0.7284
245,0.0,0.0,0.5,0.3,0.0,0.2,0.7334
246,0.0,0.0,0.5,0.3,0.1,0.1,0.7252
247,0.0,0.0,0.5,0.3,0.2,0.0,0.7248
248,0.0,0.0,0.5,0.4,0.0,0.1,0.7196
249,0.0,0.0,0.5,0.4,0.1,0.0,0.7358
250,0.0,0.0,0.5,0.5,0.0,0.0,0.7212
251,0.0,0.0,0.6,0.0,0.0,0.4,0.6728
252,0.0,0.0,0.6,0.0,0.1,0.3,0.6654
253,0.0,0.0,0.6,0.0,0.2,0.2,0.6794
254,0.0,0.0,0.6,0.0,0.3,0.1,0.6754
255,0.0,0.0,0.6,0.0,0.4,0.0,0.6692
256,0.0,0.0,0.6,0.1,0.0,0.3,0.7274
257,0.0,0.0,0.6,0.1,0.1,0.2,0.7196
258,0.0,0.0,0.6,0.1,0.2,0.1,0.7286
259,0.0,0.0,0.6,0.1,0.3,0.0,0.7252
260,0.0,0.0,0.6,0.2,0.0,0.2,0.735
261,0.0,0.0,0.6,0.2,0.1,0.1,0.7248
262,0.0,0.0,0.6,0.2,0.2,0.0,0.7272
263,0.0,0.0,0.6,0.3,0.0,0.1,0.7288
264,0.0,0.0,0.6,0.3,0.1,0.0,0.7348
265,0.0,0.0,0.6,0.4,0.0,0.0,0.7176
266,0.0,0.0,0.7,0.0,0.0,0.3,0.6818
267,0.0,0.0,0.7,0.0,0.1,0.2,0.6726
268,0.0,0.0,0.7,0.0,0.2,0.1,0.6788
269,0.0,0.0,0.7,0.0,0.3,0.0,0.6664
270,0.0,0.0,0.7,0.1,0.0,0.2,0.7252
271,0.0,0.0,0.7,0.1,0.1,0.1,0.715
272,0.0,0.0,0.7,0.1,0.2,0.0,0.7152
273,0.0,0.0,0.7,0.2,0.0,0.1,0.7290000000000001
274,0.0,0.0,0.7,0.2,0.1,0.0,0.737
275,0.0,0.0,0.7,0.3,0.0,0.0,0.7284
276,0.0,0.0,0.8,0.0,0.0,0.2,0.6729999999999999
277,0.0,0.0,0.8,0.0,0.1,0.1,0.6816
278,0.0,0.0,0.8,0.0,0.2,0.0,0.6642
279,0.0,0.0,0.8,0.1,0.0,0.1,0.7298
280,0.0,0.0,0.8,0.1,0.1,0.0,0.7190000000000001
281,0.0,0.0,0.8,0.2,0.0,0.0,0.7266
282,0.0,0.0,0.9,0.0,0.0,0.1,0.662
283,0.0,0.0,0.9,0.0,0.1,0.0,0.6766
284,0.0,0.0,0.9,0.1,0.0,0.0,0.7272
285,0.0,0.0,1.0,0.0,0.0,0.0,0.5589999999999999
286,0.0,0.1,0.0,0.0,0.0,0.9,0.6752
287,0.0,0.1,0.0,0.0,0.1,0.8,0.6808
288,0.0,0.1,0.0,0.0,0.2,0.7,0.6836
289,0.0,0.1,0.0,0.0,0.3,0.6,0.669
290,0.0,0.1,0.0,0.0,0.4,0.5,0.6754
291,0.0,0.1,0.0,0.0,0.5,0.4,0.659
292,0.0,0.1,0.0,0.0,0.6,0.3,0.6728
293,0.0,0.1,0.0,0.0,0.7,0.2,0.6828
294,0.0,0.1,0.0,0.0,0.8,0.1,0.6712
295,0.0,0.1,0.0,0.0,0.9,0.0,0.6774
296,0.0,0.1,0.0,0.1,0.0,0.8,0.713
297,0.0,0.1,0.0,0.1,0.1,0.7,0.7232
298,0.0,0.1,0.0,0.1,0.2,0.6,0.7156
299,0.0,0.1,0.0,0.1,0.3,0.5,0.7194
300,0.0,0.1,0.0,0.1,0.4,0.4,0.7246
301,0.0,0.1,0.0,0.1,0.5,0.3,0.7224
302,0.0,0.1,0.0,0.1,0.6,0.2,0.7122
303,0.0,0.1,0.0,0.1,0.7,0.1,0.7112
304,0.0,0.1,0.0,0.1,0.8,0.0,0.7086
305,0.0,0.1,0.0,0.2,0.0,0.7,0.7188
306,0.0,0.1,0.0,0.2,0.1,0.6,0.7154
307,0.0,0.1,0.0,0.2,0.2,0.5,0.722
308,0.0,0.1,0.0,0.2,0.3,0.4,0.7268
309,0.0,0.1,0.0,0.2,0.4,0.3,0.7120000000000001
310,0.0,0.1,0.0,0.2,0.5,0.2,0.7104
311,0.0,0.1,0.0,0.2,0.6,0.1,0.7190000000000001
312,0.0,0.1,0.0,0.2,0.7,0.0,0.7142
313,0.0,0.1,0.0,0.3,0.0,0.6,0.7146
314,0.0,0.1,0.0,0.3,0.1,0.5,0.7268
315,0.0,0.1,0.0,0.3,0.2,0.4,0.7258
316,0.0,0.1,0.0,0.3,0.3,0.3,0.7170000000000001
317,0.0,0.1,0.0,0.3,0.4,0.2,0.7218
318,0.0,0.1,0.0,0.3,0.5,0.1,0.7232
319,0.0,0.1,0.0,0.3,0.6,0.0,0.716
320,0.0,0.1,0.0,0.4,0.0,0.5,0.7272
321,0.0,0.1,0.0,0.4,0.1,0.4,0.7212
322,0.0,0.1,0.0,0.4,0.2,0.3,0.7276
323,0.0,0.1,0.0,0.4,0.3,0.2,0.7224
324,0.0,0.1,0.0,0.4,0.4,0.1,0.7172
325,0.0,0.1,0.0,0.4,0.5,0.0,0.7162
326,0.0,0.1,0.0,0.5,0.0,0.4,0.7252
327,0.0,0.1,0.0,0.5,0.1,0.3,0.7246
328,0.0,0.1,0.0,0.5,0.2,0.2,0.7194
329,0.0,0.1,0.0,0.5,0.3,0.1,0.7140000000000001
330,0.0,0.1,0.0,0.5,0.4,0.0,0.7394
331,0.0,0.1,0.0,0.6,0.0,0.3,0.7046
332,0.0,0.1,0.0,0.6,0.1,0.2,0.73
333,0.0,0.1,0.0,0.6,0.2,0.1,0.7214
334,0.0,0.1,0.0,0.6,0.3,0.0,0.7190000000000001
335,0.0,0.1,0.0,0.7,0.0,0.2,0.7142
336,0.0,0.1,0.0,0.7,0.1,0.1,0.7164
337,0.0,0.1,0.0,0.7,0.2,0.0,0.7174
338,0.0,0.1,0.0,0.8,0.0,0.1,0.7040000000000001
339,0.0,0.1,0.0,0.8,0.1,0.0,0.7016
340,0.0,0.1,0.0,0.9,0.0,0.0,0.696
341,0.0,0.1,0.1,0.0,0.0,0.8,0.6858
342,0.0,0.1,0.1,0.0,0.1,0.7,0.6696
343,0.0,0.1,0.1,0.0,0.2,0.6,0.6658
344,0.0,0.1,0.1,0.0,0.3,0.5,0.6752
345,0.0,0.1,0.1,0.0,0.4,0.4,0.6654
346,0.0,0.1,0.1,0.0,0.5,0.3,0.672
347,0.0,0.1,0.1,0.0,0.6,0.2,0.6702
348,0.0,0.1,0.1,0.0,0.7,0.1,0.6706
349,0.0,0.1,0.1,0.0,0.8,0.0,0.6754
350,0.0,0.1,0.1,0.1,0.0,0.7,0.7176
351,0.0,0.1,0.1,0.1,0.1,0.6,0.7204
352,0.0,0.1,0.1,0.1,0.2,0.5,0.7256
353,0.0,0.1,0.1,0.1,0.3,0.4,0.7158
354,0.0,0.1,0.1,0.1,0.4,0.3,0.7122
355,0.0,0.1,0.1,0.1,0.5,0.2,0.7172
356,0.0,0.1,0.1,0.1,0.6,0.1,0.7194
357,0.0,0.1,0.1,0.1,0.7,0.0,0.7090000000000001
358,0.0,0.1,0.1,0.2,0.0,0.6,0.7142
359,0.0,0.1,0.1,0.2,0.1,0.5,0.7188
360,0.0,0.1,0.1,0.2,0.2,0.4,0.7204
361,0.0,0.1,0.1,0.2,0.3,0.3,0.7154
362,0.0,0.1,0.1,0.2,0.4,0.2,0.7158
363,0.0,0.1,0.1,0.2,0.5,0.1,0.7202
364,0.0,0.1,0.1,0.2,0.6,0.0,0.7082
365,0.0,0.1,0.1,0.3,0.0,0.5,0.732
366,0.0,0.1,0.1,0.3,0.1,0.4,0.7154
367,0.0,0.1,0.1,0.3,0.2,0.3,0.718
368,0.0,0.1,0.1,0.3,0.3,0.2,0.7208
369,0.0,0.1,0.1,0.3,0.4,0.1,0.718
370,0.0,0.1,0.1,0.3,0.5,0.0,0.716
371,0.0,0.1,0.1,0.4,0.0,0.4,0.7286
372,0.0,0.1,0.1,0.4,0.1,0.3,0.7234
373,0.0,0.1,0.1,0.4,0.2,0.2,0.7182
374,0.0,0.1,0.1,0.4,0.3,0.1,0.7242
375,0.0,0.1,0.1,0.4,0.4,0.0,0.7164
376,0.0,0.1,0.1,0.5,0.0,0.3,0.7264
377,0.0,0.1,0.1,0.5,0.1,0.2,0.7204
378,0.0,0.1,0.1,0.5,0.2,0.1,0.713
379,0.0,0.1,0.1,0.5,0.3,0.0,0.7162
380,0.0,0.1,0.1,0.6,0.0,0.2,0.7192
381,0.0,0.1,0.1,0.6,0.1,0.1,0.7140000000000001
382,0.0,0.1,0.1,0.6,0.2,0.0,0.7156
383,0.0,0.1,0.1,0.7,0.0,0.1,0.7046
384,0.0,0.1,0.1,0.7,0.1,0.0,0.7240000000000001
385,0.0,0.1,0.1,0.8,0.0,0.0,0.6982
386,0.0,0.1,0.2,0.0,0.0,0.7,0.6734
387,0.0,0.1,0.2,0.0,0.1,0.6,0.6729999999999999
388,0.0,0.1,0.2,0.0,0.2,0.5,0.6798
389,0.0,0.1,0.2,0.0,0.3,0.4,0.6732
390,0.0,0.1,0.2,0.0,0.4,0.3,0.6692
391,0.0,0.1,0.2,0.0,0.5,0.2,0.6629999999999999
392,0.0,0.1,0.2,0.0,0.6,0.1,0.6662
393,0.0,0.1,0.2,0.0,0.7,0.0,0.674
394,0.0,0.1,0.2,0.1,0.0,0.6,0.7090000000000001
395,0.0,0.1,0.2,0.1,0.1,0.5,0.6990000000000001
396,0.0,0.1,0.2,0.1,0.2,0.4,0.715
397,0.0,0.1,0.2,0.1,0.3,0.3,0.71
398,0.0,0.1,0.2,0.1,0.4,0.2,0.7112
399,0.0,0.1,0.2,0.1,0.5,0.1,0.7128
400,0.0,0.1,0.2,0.1,0.6,0.0,0.7172
401,0.0,0.1,0.2,0.2,0.0,0.5,0.7062
402,0.0,0.1,0.2,0.2,0.1,0.4,0.7154
403,0.0,0.1,0.2,0.2,0.2,0.3,0.7134
404,0.0,0.1,0.2,0.2,0.3,0.2,0.7216
405,0.0,0.1,0.2,0.2,0.4,0.1,0.711
406,0.0,0.1,0.2,0.2,0.5,0.0,0.7248
407,0.0,0.1,0.2,0.3,0.0,0.4,0.7206
408,0.0,0.1,0.2,0.3,0.1,0.3,0.7116
409,0.0,0.1,0.2,0.3,0.2,0.2,0.7240000000000001
410,0.0,0.1,0.2,0.3,0.3,0.1,0.7366
411,0.0,0.1,0.2,0.3,0.4,0.0,0.7356
412,0.0,0.1,0.2,0.4,0.0,0.3,0.7298
413,0.0,0.1,0.2,0.4,0.1,0.2,0.7170000000000001
414,0.0,0.1,0.2,0.4,0.2,0.1,0.7294
415,0.0,0.1,0.2,0.4,0.3,0.0,0.7268
416,0.0,0.1,0.2,0.5,0.0,0.2,0.726
417,0.0,0.1,0.2,0.5,0.1,0.1,0.7232
418,0.0,0.1,0.2,0.5,0.2,0.0,0.7248
